Datum;Inhaber;Betreff;Betrag
21.02.2019;Apollo;Apollo Eintritt Giro Card Transaktion: 486042824;-19,0 EUR
23.02.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.02.2019;Shell;Giro Card Transaktion: 786392553;-84,47 EUR
01.03.2019;Mietskaserne am R�benacker;Miete f�r Monat: March;-750 EUR
01.03.2019;Norddeutscher Rundfunk;Rundfunkbeitrag f�r March;-18,36 EUR
02.03.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
02.03.2019;VHV;Privathaftpflicht;-4,5 EUR
03.03.2019;Aldi;Rechnungsnr: 5048735;-62,79 EUR
03.03.2019;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
05.03.2019;Netto;Rechnungsnr: 3535091;-62,18 EUR
05.03.2019;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 7661844;-9,21 EUR
06.03.2019;Rewe;Rechnungsnr: 1669784;-79,12 EUR
09.03.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.03.2019;Netflix ltd.;Netflix;-17,99 EUR
11.03.2019;Apotheke im Zentrum;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 3023527;-24,9 EUR
11.03.2019;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r March;-19,99 EUR
12.03.2019;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 2275699;-10,85 EUR
14.03.2019;NOVA;Gehalt f�r Monat: March;2000 EUR
14.03.2019;Oeffentlicher Personennahverkehr;Ihr Ticket: 942945866;-5,9 EUR
16.03.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.03.2019;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 5550451;-10,12 EUR
16.03.2019;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.03.2019;Bok;Bis zum n�chsten Mal! Bok Rechnungsnummer: 3205;-16,0 EUR
18.03.2019;Walt Disney;Disney+;-17,99 EUR
20.03.2019;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 3581551;-7,83 EUR
23.03.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.03.2019;Amazon;Buchungsnr: 6127172;-133,0 EUR
26.03.2019;NP;Rechnungsnr: 5502742;-51,91 EUR
27.03.2019;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 7076709;-8,37 EUR
28.03.2019;Aral;Giro Card Transaktion: 665703415;-36,28 EUR
30.03.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
01.04.2019;Mietskaserne am R�benacker;Miete f�r Monat: April;-750 EUR
01.04.2019;Athenopolis;Bis zum n�chsten Mal! Athenopolis Rechnungsnummer: 2434;-20,3 EUR
01.04.2019;Oeffentlicher Personennahverkehr;Ihr Ticket: 999265956;-5,9 EUR
01.04.2019;Norddeutscher Rundfunk;Rundfunkbeitrag f�r April;-18,36 EUR
01.04.2019;Paypal;Buchungsnr: 7512559;-61,82 EUR
02.04.2019;VHV;Privathaftpflicht;-4,5 EUR
03.04.2019;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
04.04.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.04.2019;Netflix ltd.;Netflix;-17,99 EUR
11.04.2019;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r April;-19,99 EUR
11.04.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
14.04.2019;NOVA;Gehalt f�r Monat: April;2000 EUR
14.04.2019;Edeka;Rechnungsnr: 2840665;-112,09 EUR
14.04.2019;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 5577330;-10,53 EUR
16.04.2019;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.04.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.04.2019;Walt Disney;Disney+;-17,99 EUR
24.04.2019;NP;Rechnungsnr: 4989829;-94,73 EUR
24.04.2019;Oeffentlicher Personennahverkehr;Ihr Ticket: 247599304;-5,9 EUR
25.04.2019;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 5043834;-24,9 EUR
25.04.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
26.04.2019;Paypal;Buchungsnr: 9238953;-108,18 EUR
27.04.2019;NP;Rechnungsnr: 2115212;-149,18 EUR
27.04.2019;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 9434976;-10,94 EUR
01.05.2019;Mietskaserne am R�benacker;Miete f�r Monat: May;-750 EUR
01.05.2019;Norddeutscher Rundfunk;Rundfunkbeitrag f�r May;-18,36 EUR
02.05.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
02.05.2019;VHV;Privathaftpflicht;-4,5 EUR
03.05.2019;Reformhaus;Rechnungsnr: 8233612;-115,29 EUR
03.05.2019;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
04.05.2019;Denns;Rechnungsnr: 9785952;-50,84 EUR
05.05.2019;Otto;Buchungsnr: 4603661;-64,28 EUR
07.05.2019;Denns;Rechnungsnr: 9658504;-74,87 EUR
08.05.2019;Bok;Bis zum n�chsten Mal! Bok Rechnungsnummer: 3088;-19,2 EUR
09.05.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.05.2019;Netflix ltd.;Netflix;-17,99 EUR
11.05.2019;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r May;-19,99 EUR
12.05.2019;Paypal;Buchungsnr: 2399079;-32,34 EUR
14.05.2019;NOVA;Gehalt f�r Monat: May;2000 EUR
15.05.2019;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 9901502;-5,77 EUR
15.05.2019;BP;Giro Card Transaktion: 499683339;-65,0 EUR
16.05.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.05.2019;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.05.2019;Walt Disney;Disney+;-17,99 EUR
23.05.2019;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 1289141;-24,9 EUR
23.05.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.05.2019;Schauspielhaus;Schauspielhaus Eintritt Giro Card Transaktion: 743853394;-71,0 EUR
27.05.2019;Paypal;Buchungsnr: 7063429;-42,38 EUR
29.05.2019;Oeffentlicher Personennahverkehr;Ihr Ticket: 126896530;-5,9 EUR
30.05.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
01.06.2019;Mietskaserne am R�benacker;Miete f�r Monat: June;-750 EUR
01.06.2019;BK;Ihre Bestellung bei BK Rechnungsnummer: 9317230;-10,76 EUR
01.06.2019;Norddeutscher Rundfunk;Rundfunkbeitrag f�r June;-18,36 EUR
01.06.2019;Saturn;Buchungsnr: 9335711;-65,17 EUR
02.06.2019;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 4274671;-9,82 EUR
02.06.2019;VHV;Privathaftpflicht;-4,5 EUR
03.06.2019;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.06.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
04.06.2019;Jet;Giro Card Transaktion: 575114278;-37,61 EUR
04.06.2019;Saturn;Buchungsnr: 9841816;-59,7 EUR
06.06.2019;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 3222225;-6,31 EUR
07.06.2019;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 2172503;-9,62 EUR
07.06.2019;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 8134975;-5,97 EUR
08.06.2019;Amazon;Buchungsnr: 6095803;-72,25 EUR
08.06.2019;Paypal;Buchungsnr: 5179407;-130,88 EUR
10.06.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.06.2019;Netflix ltd.;Netflix;-17,99 EUR
11.06.2019;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r June;-19,99 EUR
11.06.2019;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 7213458;-11,83 EUR
11.06.2019;Kleines Theater;Kleines Theater Eintritt Giro Card Transaktion: 773704823;-42,1 EUR
14.06.2019;NOVA;Gehalt f�r Monat: June;2000 EUR
16.06.2019;BP;Giro Card Transaktion: 127737922;-51,92 EUR
16.06.2019;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.06.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.06.2019;Walt Disney;Disney+;-17,99 EUR
21.06.2019;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 1544248;-9,38 EUR
24.06.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.06.2019;Oeffentlicher Personennahverkehr;Ihr Ticket: 824130740;-5,9 EUR
26.06.2019;Edeka;Rechnungsnr: 2090525;-492,0 EUR
27.06.2019;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 1526498;-24,9 EUR
29.06.2019;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 6814740;-5,66 EUR
29.06.2019;Astor;Astor Eintritt Giro Card Transaktion: 233369108;-17,2 EUR
30.06.2019;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 8186556;-10,56 EUR
01.07.2019;Mietskaserne am R�benacker;Miete f�r Monat: July;-750 EUR
01.07.2019;Norddeutscher Rundfunk;Rundfunkbeitrag f�r July;-18,36 EUR
02.07.2019;VHV;Privathaftpflicht;-4,5 EUR
02.07.2019;Saturn;Buchungsnr: 8731244;-131,36 EUR
03.07.2019;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
04.07.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
04.07.2019;Athenopolis;Bis zum n�chsten Mal! Athenopolis Rechnungsnummer: 5296;-20,2 EUR
07.07.2019;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 2375174;-11,52 EUR
09.07.2019;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 9877309;-5,2 EUR
10.07.2019;Denns;Rechnungsnr: 9005438;-80,78 EUR
10.07.2019;NP;Rechnungsnr: 7182400;-91,53 EUR
10.07.2019;Netflix ltd.;Netflix;-17,99 EUR
11.07.2019;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r July;-19,99 EUR
11.07.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
12.07.2019;Reformhaus;Rechnungsnr: 6540536;-153,44 EUR
13.07.2019;Rewe;Rechnungsnr: 9393076;-74,48 EUR
14.07.2019;NOVA;Gehalt f�r Monat: July;2000 EUR
16.07.2019;Oeffentlicher Personennahverkehr;Ihr Ticket: 856357784;-5,9 EUR
16.07.2019;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.07.2019;Online Pharma;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 9223989;-24,9 EUR
18.07.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.07.2019;Walt Disney;Disney+;-17,99 EUR
22.07.2019;Schauspielhaus;Schauspielhaus Eintritt Giro Card Transaktion: 635918065;-71,4 EUR
25.07.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
26.07.2019;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 4894213;-9,44 EUR
27.07.2019;Denns;Rechnungsnr: 4930009;-98,76 EUR
31.07.2019;Paypal;Buchungsnr: 4539001;-104,64 EUR
01.08.2019;Mietskaserne am R�benacker;Miete f�r Monat: August;-750 EUR
01.08.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
01.08.2019;Norddeutscher Rundfunk;Rundfunkbeitrag f�r August;-18,36 EUR
02.08.2019;VHV;Privathaftpflicht;-4,5 EUR
03.08.2019;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.08.2019;Shell;Giro Card Transaktion: 829697664;-37,72 EUR
05.08.2019;Shell;Giro Card Transaktion: 376754149;-72,69 EUR
06.08.2019;Oeffentlicher Personennahverkehr;Ihr Ticket: 491366752;-5,9 EUR
08.08.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.08.2019;Netflix ltd.;Netflix;-17,99 EUR
11.08.2019;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r August;-19,99 EUR
11.08.2019;Amazon;Buchungsnr: 9010788;-141,14 EUR
12.08.2019;Lidl;Rechnungsnr: 5364228;-499,0 EUR
14.08.2019;NOVA;Gehalt f�r Monat: August;2000 EUR
15.08.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.08.2019;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.08.2019;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 8717875;-8,78 EUR
18.08.2019;Walt Disney;Disney+;-17,99 EUR
19.08.2019;Apotheke im Zentrum;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 8393627;-24,9 EUR
22.08.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
23.08.2019;Oeffentlicher Personennahverkehr;Ihr Ticket: 142306172;-5,9 EUR
23.08.2019;Amazon;Buchungsnr: 7230975;-60,53 EUR
27.08.2019;Paypal;Buchungsnr: 6693050;-74,26 EUR
29.08.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
29.08.2019;Saturn;Buchungsnr: 8511287;-87,07 EUR
01.09.2019;Mietskaserne am R�benacker;Miete f�r Monat: September;-750 EUR
01.09.2019;VHV;Abbuchung Ihrer Vollkasko Versicherung f�r das KFZ mit dem Kennzeichen: ABC - 1234;-546 EUR
01.09.2019;Norddeutscher Rundfunk;Rundfunkbeitrag f�r September;-18,36 EUR
02.09.2019;VHV;Privathaftpflicht;-4,5 EUR
03.09.2019;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
04.09.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
04.09.2019;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 1420629;-9,16 EUR
05.09.2019;Apotheke im Zentrum;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 9203366;-24,9 EUR
05.09.2019;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 1047571;-5,99 EUR
07.09.2019;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 2815662;-7,29 EUR
07.09.2019;Paypal;Buchungsnr: 5687840;-249,0 EUR
10.09.2019;Rewe;Rechnungsnr: 1033901;-61,86 EUR
10.09.2019;Netflix ltd.;Netflix;-17,99 EUR
11.09.2019;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r September;-19,99 EUR
11.09.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
11.09.2019;Athenopolis;Bis zum n�chsten Mal! Athenopolis Rechnungsnummer: 9587;-19,3 EUR
14.09.2019;NOVA;Gehalt f�r Monat: September;2000 EUR
16.09.2019;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.09.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.09.2019;Walt Disney;Disney+;-17,99 EUR
19.09.2019;Rewe;Rechnungsnr: 8297759;-56,53 EUR
22.09.2019;Zahn�rzte an der Zuckerr�benfabrik;Zahn�rzte an der Zuckerr�benfabrik Rechnungsnr: 6136;-79,9 EUR
22.09.2019;Cinemaxx;Cinemaxx Eintritt Giro Card Transaktion: 726418230;-16,2 EUR
23.09.2019;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 2581263;-8,31 EUR
24.09.2019;Rewe;Rechnungsnr: 7424646;-107,61 EUR
25.09.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
26.09.2019;Schauspielhaus;Schauspielhaus Eintritt Giro Card Transaktion: 326945097;-20,0 EUR
27.09.2019;BK;Ihre Bestellung bei BK Rechnungsnummer: 5373021;-8,57 EUR
28.09.2019;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 2108591;-10,8 EUR
30.09.2019;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 7205784;-11,32 EUR
01.10.2019;Mietskaserne am R�benacker;Miete f�r Monat: October;-750 EUR
01.10.2019;Norddeutscher Rundfunk;Rundfunkbeitrag f�r October;-18,36 EUR
01.10.2019;Otto;Buchungsnr: 2290412;-51,54 EUR
02.10.2019;VHV;Privathaftpflicht;-4,5 EUR
02.10.2019;Paypal;Buchungsnr: 5763022;-24,24 EUR
03.10.2019;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.10.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
03.10.2019;Amazon;Buchungsnr: 4665580;-26,22 EUR
05.10.2019;Apotheke im Zentrum;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 9537390;-24,9 EUR
10.10.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.10.2019;Netflix ltd.;Netflix;-17,99 EUR
11.10.2019;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r October;-19,99 EUR
14.10.2019;NOVA;Gehalt f�r Monat: October;2000 EUR
16.10.2019;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.10.2019;Penny;Rechnungsnr: 6604538;-79,03 EUR
17.10.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.10.2019;Walt Disney;Disney+;-17,99 EUR
21.10.2019;Aldi;Rechnungsnr: 7372648;-66,03 EUR
24.10.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
24.10.2019;Kleines Theater;Kleines Theater Eintritt Giro Card Transaktion: 578397919;-45,0 EUR
26.10.2019;NP;Rechnungsnr: 8823739;-67,72 EUR
28.10.2019;Lidl;Rechnungsnr: 6790216;-78,5 EUR
30.10.2019;Edeka;Rechnungsnr: 3006340;-167,72 EUR
01.11.2019;Mietskaserne am R�benacker;Miete f�r Monat: November;-750 EUR
01.11.2019;Netto;Rechnungsnr: 6515144;-93,06 EUR
01.11.2019;Zoll;Ihre KFZ Steuer f�r das Kennzeichen: ABC - 1234;-52 EUR
01.11.2019;Norddeutscher Rundfunk;Rundfunkbeitrag f�r November;-18,36 EUR
02.11.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
02.11.2019;VHV;Privathaftpflicht;-4,5 EUR
03.11.2019;Penny;Rechnungsnr: 5783191;-213,59 EUR
03.11.2019;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.11.2019;Oeffentlicher Personennahverkehr;Ihr Ticket: 474987630;-5,9 EUR
06.11.2019;BK;Ihre Bestellung bei BK Rechnungsnummer: 1021971;-5,32 EUR
06.11.2019;Aral;Giro Card Transaktion: 312271999;-58,1 EUR
09.11.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
09.11.2019;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 4808590;-6,05 EUR
09.11.2019;Oeffentlicher Personennahverkehr;Ihr Ticket: 518255555;-5,9 EUR
10.11.2019;Netflix ltd.;Netflix;-17,99 EUR
11.11.2019;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r November;-19,99 EUR
14.11.2019;NOVA;Gehalt f�r Monat: November inkl. Sonderzahlung;3740,0 EUR
15.11.2019;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 5213380;-7,84 EUR
16.11.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.11.2019;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.11.2019;BK;Ihre Bestellung bei BK Rechnungsnummer: 2066606;-9,25 EUR
17.11.2019;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 9662478;-8,29 EUR
18.11.2019;Walt Disney;Disney+;-17,99 EUR
19.11.2019;Oeffentlicher Personennahverkehr;Ihr Ticket: 442787555;-5,9 EUR
20.11.2019;Online Pharma;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 1169202;-24,9 EUR
23.11.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
23.11.2019;Otto;Buchungsnr: 5842536;-95,54 EUR
24.11.2019;Astor;Astor Eintritt Giro Card Transaktion: 104633353;-17,6 EUR
25.11.2019;BK;Ihre Bestellung bei BK Rechnungsnummer: 5132619;-9,01 EUR
28.11.2019;Denns;Rechnungsnr: 2464403;-108,35 EUR
29.11.2019;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 6659128;-7,11 EUR
29.11.2019;Aral;Giro Card Transaktion: 699937411;-35,76 EUR
30.11.2019;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 5624906;-6,82 EUR
30.11.2019;Amazon;Buchungsnr: 2977646;-37,46 EUR
01.12.2019;Mietskaserne am R�benacker;Miete f�r Monat: December;-750 EUR
01.12.2019;Norddeutscher Rundfunk;Rundfunkbeitrag f�r December;-18,36 EUR
02.12.2019;VHV;Privathaftpflicht;-4,5 EUR
03.12.2019;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
04.12.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
08.12.2019;NP;Rechnungsnr: 5511561;-63,83 EUR
09.12.2019;Reformhaus;Rechnungsnr: 9247043;-78,56 EUR
10.12.2019;Netflix ltd.;Netflix;-17,99 EUR
11.12.2019;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r December;-19,99 EUR
11.12.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
11.12.2019;BK;Ihre Bestellung bei BK Rechnungsnummer: 9747882;-5,13 EUR
13.12.2019;NP;Rechnungsnr: 2707294;-63,88 EUR
14.12.2019;NOVA;Gehalt f�r Monat: December;2000 EUR
14.12.2019;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 7123052;-7,46 EUR
16.12.2019;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 2974135;-6,25 EUR
16.12.2019;Amazon;Buchungsnr: 6337220;-79,32 EUR
16.12.2019;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.12.2019;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 7416494;-9,85 EUR
18.12.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
